time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
2020-04-01 21:12:24+0000,66.2,167.0,23.7,19.4,55.2,2.7,1483.0,50.5,10.0
2020-04-07 15:18:28+0000,65.3,167.0,23.4,18.8,55.6,2.6,1470.0,50.3,10.0
2020-04-12 17:33:39+0000,65.3,167.0,23.4,18.8,55.6,2.6,1470.0,50.3,10.0
2020-04-13 22:29:36+0000,66.3,167.0,23.7,19.0,55.5,2.7,1485.0,50.9,10.0
2020-04-19 21:22:10+0000,65.6,167.0,23.5,19.0,55.5,2.7,1474.0,50.4,10.0
2020-04-23 21:46:22+0000,65.6,167.0,23.5,19.0,55.5,2.6,1474.0,50.3,10.0
2020-04-28 22:51:23+0000,66.4,167.0,23.8,19.5,55.1,2.7,1486.0,50.7,10.0
2020-04-29 22:34:24+0000,65.9,167.0,23.6,19.6,55.1,2.6,1479.0,50.2,10.0
2020-05-01 22:00:47+0000,66.9,167.0,23.9,19.8,54.9,2.7,1494.0,50.9,10.0
2020-05-02 23:12:54+0000,66.9,167.0,23.9,19.8,54.9,2.7,1494.0,50.8,10.0
2020-05-03 22:31:40+0000,66.9,167.0,23.9,19.5,55.1,2.7,1494.0,51.0,10.0
2020-05-04 15:40:51+0000,66.9,167.0,23.9,20.0,54.8,2.7,1494.0,50.7,10.0
2020-05-05 22:09:21+0000,66.9,167.0,23.9,19.6,55.1,2.7,1494.0,51.0,10.0
2020-05-07 22:09:25+0000,66.9,167.0,23.9,19.6,55.0,2.7,1494.0,50.9,10.0
2020-05-10 21:45:21+0000,68.0,167.0,24.3,20.3,54.6,2.7,1510.0,51.4,10.0
2020-05-11 22:43:00+0000,67.5,167.0,24.2,20.1,54.7,2.7,1503.0,51.1,10.0
2020-05-13 22:42:34+0000,66.7,167.0,23.9,19.8,54.9,2.7,1491.0,50.7,10.0
2020-05-15 22:07:27+0000,67.1,167.0,24.0,20.0,54.8,2.7,1497.0,50.8,10.0
2020-05-17 22:26:36+0000,67.1,167.0,24.0,20.0,54.8,2.7,1497.0,50.9,10.0
2020-05-19 22:01:51+0000,67.1,167.0,24.0,20.0,54.8,2.7,1497.0,50.8,10.0
2020-05-20 23:46:14+0000,68.1,167.0,24.4,20.6,54.4,2.7,1512.0,51.2,10.0
2020-05-21 23:33:04+0000,68.1,167.0,24.4,20.4,54.5,2.7,1512.0,51.4,10.0
2020-05-22 23:26:06+0000,68.1,167.0,24.4,20.8,54.3,2.7,1512.0,51.1,10.0
2020-05-23 22:00:47+0000,67.7,167.0,24.2,20.6,54.4,2.7,1506.0,50.9,10.0
2020-05-24 22:24:50+0000,67.1,167.0,24.0,20.2,54.7,2.7,1497.0,50.8,10.0
2020-05-27 22:12:42+0000,67.7,167.0,24.2,20.3,54.6,2.7,1506.0,51.1,10.0
2020-05-28 22:15:09+0000,67.7,167.0,24.2,20.1,54.7,2.7,1506.0,51.2,10.0
2020-05-29 21:51:57+0000,68.2,167.0,24.4,20.4,54.5,2.7,1513.0,51.4,10.0
2020-05-30 22:00:18+0000,68.2,167.0,24.4,20.7,54.3,2.7,1513.0,51.3,10.0
2020-05-31 21:52:18+0000,67.3,167.0,24.1,20.2,54.7,2.7,1500.0,50.9,10.0
2020-06-02 22:15:06+0000,68.2,167.0,24.4,20.7,54.3,2.7,1513.0,51.3,10.0
2020-06-03 22:10:12+0000,67.5,167.0,24.2,20.5,54.4,2.7,1503.0,50.8,10.0
2020-06-07 21:52:13+0000,68.0,167.0,24.3,20.9,54.2,2.7,1510.0,50.9,10.0
2020-06-09 22:15:03+0000,67.3,167.0,24.1,20.3,54.6,2.7,1500.0,50.8,10.0
2020-06-10 22:09:29+0000,67.7,167.0,24.2,20.5,54.4,2.7,1506.0,51.0,10.0
2020-06-12 22:09:34+0000,67.7,167.0,24.2,20.8,54.3,2.7,1506.0,50.8,10.0
2020-06-14 21:41:46+0000,68.1,167.0,24.4,21.0,54.1,2.7,1512.0,50.9,10.0
2020-06-16 21:53:31+0000,68.1,167.0,24.4,20.9,54.1,2.7,1512.0,51.0,10.0
2020-06-17 22:13:07+0000,68.8,167.0,24.6,21.2,54.0,2.7,1522.0,51.4,10.0
2020-06-18 22:08:35+0000,68.1,167.0,24.4,20.9,54.2,2.7,1512.0,51.0,10.0
2020-06-19 22:23:58+0000,68.1,167.0,24.4,20.8,54.2,2.7,1512.0,51.1,10.0
2020-06-21 16:41:45+0000,68.6,167.0,24.5,21.2,54.0,2.7,1519.0,51.2,10.0
2020-06-24 08:54:34+0000,68.2,167.0,24.4,20.8,54.3,2.7,1513.0,51.2,10.0
2020-06-25 17:35:02+0000,68.2,167.0,24.4,20.7,54.3,2.7,1513.0,51.3,10.0
2020-06-26 21:38:10+0000,68.7,167.0,24.6,20.8,54.2,2.7,1520.0,51.5,10.0
2020-06-27 16:59:33+0000,68.7,167.0,24.6,21.0,54.1,2.7,1520.0,51.4,10.0
2020-06-27 16:59:58+0000,68.7,167.0,24.6,21.0,54.1,2.7,1520.0,51.4,10.0
2020-06-28 09:15:09+0000,68.4,167.0,24.5,21.0,54.1,2.7,1516.0,51.2,10.0
2020-06-28 21:55:08+0000,69.0,167.0,24.7,21.1,54.0,2.7,1525.0,51.6,10.0
2020-06-29 21:08:54+0000,69.0,167.0,24.7,21.0,54.1,2.7,1525.0,51.6,10.0
2020-06-30 21:24:13+0000,69.0,167.0,24.7,21.2,54.0,2.7,1525.0,51.5,10.0
2020-07-01 21:35:00+0000,69.0,167.0,24.7,21.0,54.1,2.7,1525.0,51.6,10.0
2020-07-02 21:12:27+0000,69.0,167.0,24.7,21.1,54.0,2.7,1525.0,51.6,10.0
2020-07-03 21:31:16+0000,69.0,167.0,24.7,20.9,54.1,2.7,1525.0,51.7,10.0
2020-07-04 17:25:18+0000,69.0,167.0,24.7,21.2,54.0,2.7,1525.0,51.5,10.0
2020-07-05 18:39:10+0000,69.8,167.0,25.0,21.8,53.6,2.7,1537.0,51.8,10.0
2020-07-06 10:08:16+0000,69.0,167.0,24.7,21.1,54.1,2.7,1525.0,51.6,10.0
2020-07-06 18:23:14+0000,70.0,167.0,25.0,21.7,53.7,2.7,1540.0,52.0,10.0
2020-07-07 10:00:53+0000,69.3,167.0,24.8,21.2,54.0,2.7,1529.0,51.7,10.0
2020-07-07 21:20:11+0000,69.7,167.0,24.9,21.7,53.6,2.7,1535.0,51.7,10.0
2020-07-08 18:28:37+0000,69.1,167.0,24.7,21.4,53.9,2.7,1526.0,51.5,10.0
2020-07-09 21:17:10+0000,69.1,167.0,24.7,21.5,53.7,2.7,1526.0,51.4,10.0
2020-07-10 09:48:51+0000,68.4,167.0,24.5,21.0,54.1,2.7,1516.0,51.2,10.0
2020-07-10 19:58:25+0000,69.1,167.0,24.7,21.5,53.8,2.7,1526.0,51.4,10.0
2020-07-12 19:33:36+0000,69.1,167.0,24.7,21.3,53.9,2.7,1526.0,51.6,10.0
2020-07-13 18:59:52+0000,69.5,167.0,24.9,21.7,53.7,2.7,1532.0,51.6,10.0
2020-07-14 08:52:43+0000,69.1,167.0,24.7,21.4,53.9,2.7,1526.0,51.5,10.0
2020-07-15 21:16:14+0000,69.1,167.0,24.7,21.6,53.7,2.7,1526.0,51.4,10.0
2020-07-16 21:01:49+0000,69.1,167.0,24.7,21.8,53.6,2.7,1526.0,51.2,10.0
2020-07-17 19:39:27+0000,69.8,167.0,25.0,21.9,53.5,2.7,1537.0,51.6,10.0
2020-07-18 17:30:13+0000,69.2,167.0,24.8,21.4,53.8,2.7,1528.0,51.5,10.0
2020-07-19 10:01:35+0000,69.2,167.0,24.8,21.5,53.8,2.7,1528.0,51.5,10.0
2020-07-19 21:49:03+0000,69.7,167.0,24.9,21.5,53.8,2.7,1535.0,51.9,10.0
2020-07-20 17:56:09+0000,69.3,167.0,24.8,21.4,53.8,2.7,1529.0,51.6,10.0
2020-07-21 21:18:34+0000,69.7,167.0,24.9,21.9,53.5,2.7,1535.0,51.6,10.0
2020-07-22 19:57:53+0000,69.4,167.0,24.8,21.6,53.7,2.7,1531.0,51.6,10.0
2020-07-23 19:11:00+0000,69.7,167.0,24.9,21.9,53.5,2.7,1535.0,51.6,10.0
2020-07-24 20:32:55+0000,69.0,167.0,24.7,21.4,53.9,2.7,1525.0,51.4,10.0
2020-07-26 19:26:36+0000,69.4,167.0,24.8,21.8,53.6,2.7,1531.0,51.4,10.0
2020-07-27 21:06:00+0000,69.1,167.0,24.7,21.1,54.0,2.7,1526.0,51.7,10.0
2020-07-28 21:36:27+0000,69.1,167.0,24.7,21.3,53.9,2.7,1526.0,51.5,10.0
2020-07-29 08:55:48+0000,69.1,167.0,24.7,21.5,53.8,2.7,1526.0,51.4,10.0
2020-07-29 20:59:17+0000,69.1,167.0,24.7,21.4,53.8,2.7,1526.0,51.5,10.0
2020-07-30 20:47:12+0000,68.7,167.0,24.6,21.0,54.1,2.7,1520.0,51.4,10.0
2020-07-31 20:01:06+0000,69.6,167.0,24.9,21.9,53.5,2.7,1534.0,51.5,10.0
2020-08-01 09:18:24+0000,68.5,167.0,24.5,21.3,53.9,2.7,1518.0,51.1,10.0
2020-08-05 17:33:12+0000,69.0,167.0,24.7,21.7,53.6,2.7,1525.0,51.2,10.0
2020-08-08 22:06:04+0000,69.6,167.0,24.9,21.3,53.9,2.7,1534.0,51.9,10.0
2020-08-09 17:12:45+0000,68.9,167.0,24.7,21.3,53.9,2.7,1523.0,51.4,10.0
2020-08-12 16:48:09+0000,68.9,167.0,24.7,21.2,54.0,2.7,1523.0,51.4,10.0
2020-08-13 21:47:06+0000,69.4,167.0,24.8,21.7,53.7,2.7,1531.0,51.5,10.0
2020-08-14 22:06:07+0000,69.4,167.0,24.8,21.6,53.7,2.7,1531.0,51.6,10.0
2020-08-15 21:59:50+0000,69.4,167.0,24.8,21.7,53.6,2.7,1531.0,51.5,10.0
2020-08-17 21:30:49+0000,69.4,167.0,24.8,21.8,53.5,2.7,1531.0,51.4,10.0
2020-08-18 21:16:49+0000,69.0,167.0,24.7,21.8,53.6,2.7,1525.0,51.2,10.0
2020-08-19 21:10:18+0000,69.0,167.0,24.7,21.9,53.5,2.7,1525.0,51.1,10.0
2020-08-20 15:33:45+0000,68.4,167.0,24.5,21.3,53.9,2.7,1516.0,51.0,10.0
2020-08-22 20:59:39+0000,69.4,167.0,24.8,21.6,53.7,2.7,1531.0,51.6,10.0
2020-08-24 21:48:32+0000,69.4,167.0,24.8,21.2,54.0,2.7,1531.0,51.8,10.0
2020-08-25 21:30:03+0000,69.4,167.0,24.8,21.2,54.0,2.7,1531.0,51.8,10.0
2020-08-26 21:15:52+0000,69.4,167.0,24.8,21.4,53.9,2.7,1531.0,51.7,10.0
2020-08-27 21:32:12+0000,69.4,167.0,24.8,21.4,53.8,2.7,1531.0,51.7,10.0
2020-08-28 21:33:20+0000,69.4,167.0,24.8,21.6,53.7,2.7,1531.0,51.6,10.0
2020-08-29 21:55:34+0000,68.9,167.0,24.7,21.5,53.8,2.7,1523.0,51.3,10.0
2020-08-30 22:04:27+0000,68.5,167.0,24.5,21.6,53.7,2.7,1518.0,50.9,10.0
2020-08-31 21:35:41+0000,68.5,167.0,24.5,21.3,53.9,2.7,1518.0,51.1,10.0
2020-09-01 22:21:13+0000,69.0,167.0,24.7,21.8,53.6,2.7,1525.0,51.1,10.0
2020-09-02 19:41:06+0000,69.0,167.0,24.7,21.5,53.8,2.7,1525.0,51.4,10.0
2020-09-03 20:23:27+0000,68.6,167.0,24.5,21.4,53.8,2.7,1519.0,51.1,10.0
2020-09-04 21:24:03+0000,69.4,167.0,24.8,21.7,53.6,2.7,1531.0,51.5,10.0
2020-09-05 22:03:13+0000,69.4,167.0,24.8,21.8,53.5,2.7,1531.0,51.4,10.0
2020-09-07 16:00:06+0000,68.4,167.0,24.5,21.3,53.9,2.7,1516.0,51.0,10.0
2020-09-08 21:56:00+0000,69.3,167.0,24.8,21.5,53.8,2.7,1529.0,51.6,10.0
2020-09-10 23:14:47+0000,69.3,167.0,24.8,21.3,53.9,2.7,1529.0,51.7,10.0
2020-09-11 23:25:34+0000,68.9,167.0,24.7,21.6,53.7,2.7,1523.0,51.2,10.0
2020-09-12 22:22:55+0000,68.9,167.0,24.7,21.5,53.8,2.7,1523.0,51.3,10.0
2020-09-13 22:28:14+0000,68.9,167.0,24.7,21.4,53.8,2.7,1523.0,51.3,10.0
2020-09-15 21:28:26+0000,68.5,167.0,24.5,21.1,54.0,2.7,1518.0,51.2,10.0
2020-09-16 21:56:50+0000,69.0,167.0,24.7,21.2,54.0,2.7,1525.0,51.5,10.0
2020-09-18 19:24:16+0000,68.6,167.0,24.5,21.2,54.0,2.7,1519.0,51.2,10.0
2020-09-18 19:24:34+0000,68.6,167.0,24.5,21.1,54.0,2.7,1519.0,51.3,10.0
2020-09-19 22:21:53+0000,68.6,167.0,24.5,21.5,53.8,2.7,1519.0,51.1,10.0
2020-09-20 21:21:31+0000,68.6,167.0,24.5,21.3,53.9,2.7,1519.0,51.2,10.0
2020-09-22 22:15:49+0000,68.8,167.0,24.6,21.9,53.5,2.7,1522.0,50.9,10.0
2020-09-23 20:19:49+0000,68.8,167.0,24.6,21.4,53.9,2.7,1522.0,51.3,10.0
2020-09-24 20:18:24+0000,68.8,167.0,24.6,21.6,53.7,2.7,1522.0,51.1,10.0
2020-09-25 23:15:56+0000,68.3,167.0,24.4,21.6,53.7,2.7,1515.0,50.8,10.0
2020-09-26 18:54:41+0000,68.3,167.0,24.4,21.3,53.9,2.7,1515.0,50.9,10.0
2020-09-27 21:49:29+0000,68.8,167.0,24.6,21.5,53.8,2.7,1522.0,51.2,10.0
2020-09-29 22:03:00+0000,68.8,167.0,24.6,21.4,53.8,2.7,1522.0,51.2,10.0
2020-10-02 23:01:40+0000,68.8,167.0,24.6,21.7,53.6,2.7,1522.0,51.1,10.0
2020-10-03 21:52:58+0000,68.1,167.0,24.4,21.2,53.9,2.7,1512.0,50.8,10.0
2020-10-04 22:16:09+0000,68.5,167.0,24.5,21.3,53.9,2.7,1518.0,51.1,10.0
2020-10-05 18:57:58+0000,68.8,167.0,24.6,21.5,53.8,2.7,1522.0,51.2,10.0
2020-10-07 21:29:56+0000,68.1,167.0,24.4,21.0,54.1,2.7,1512.0,51.0,10.0
2020-10-08 22:32:17+0000,68.1,167.0,24.4,20.8,54.3,2.7,1512.0,51.1,10.0
2020-10-11 22:20:38+0000,68.1,167.0,24.4,21.1,54.0,2.7,1512.0,50.9,10.0
2020-10-13 21:41:45+0000,69.1,167.0,24.7,21.4,53.8,2.7,1526.0,51.4,10.0
2020-10-14 21:55:28+0000,68.6,167.0,24.5,21.2,54.0,2.7,1519.0,51.2,10.0
2020-10-15 21:48:34+0000,69.1,167.0,24.7,21.5,53.8,2.7,1526.0,51.4,10.0
2020-10-17 21:55:14+0000,68.5,167.0,24.5,21.5,53.8,2.7,1518.0,51.0,10.0
2020-10-18 22:10:06+0000,69.0,167.0,24.7,21.6,53.7,2.7,1525.0,51.3,10.0
2020-10-20 21:43:25+0000,69.0,167.0,24.7,21.5,53.7,2.7,1525.0,51.3,10.0
2020-10-21 22:15:33+0000,68.6,167.0,24.5,21.3,53.9,2.7,1519.0,51.2,10.0
2020-10-22 22:28:53+0000,68.6,167.0,24.5,21.2,53.9,2.7,1519.0,51.2,10.0
2020-10-24 15:30:12+0000,68.6,167.0,24.5,21.4,53.9,2.7,1519.0,51.1,10.0
2020-10-25 23:09:00+0000,69.3,167.0,24.8,21.7,53.6,2.7,1529.0,51.4,10.0
2020-10-27 22:45:56+0000,69.3,167.0,24.8,21.8,53.6,2.7,1529.0,51.4,10.0
2020-10-28 22:50:07+0000,69.3,167.0,24.8,21.6,53.7,2.7,1529.0,51.5,10.0
2020-10-29 23:04:54+0000,69.3,167.0,24.8,21.5,53.7,2.7,1529.0,51.5,10.0
2020-10-31 23:22:11+0000,68.7,167.0,24.6,21.5,53.8,2.7,1520.0,51.1,10.0
2020-11-01 22:43:54+0000,69.1,167.0,24.7,21.4,53.9,2.7,1526.0,51.5,10.0
2020-11-03 22:51:53+0000,68.3,167.0,24.4,20.9,54.2,2.7,1515.0,51.2,10.0
2020-11-04 22:57:52+0000,69.3,167.0,24.8,21.5,53.8,2.7,1529.0,51.5,10.0
2020-11-07 23:02:53+0000,68.2,167.0,24.4,21.3,53.9,2.7,1513.0,50.9,10.0
2020-11-08 22:28:30+0000,69.1,167.0,24.7,21.6,53.7,2.7,1526.0,51.3,10.0
2020-11-09 20:59:32+0000,69.1,167.0,24.7,21.5,53.7,2.7,1526.0,51.4,10.0
2020-11-10 22:55:37+0000,68.6,167.0,24.5,21.3,53.9,2.7,1519.0,51.1,10.0
2020-11-12 23:11:42+0000,68.6,167.0,24.5,21.2,54.0,2.7,1519.0,51.2,10.0
2020-11-14 23:09:54+0000,69.1,167.0,24.7,21.4,53.8,2.7,1526.0,51.5,10.0
2020-11-15 23:14:31+0000,68.5,167.0,24.5,21.1,54.0,2.7,1518.0,51.2,10.0
2020-11-17 22:23:08+0000,68.5,167.0,24.5,21.1,54.0,2.7,1518.0,51.2,10.0
2020-11-19 22:39:37+0000,68.9,167.0,24.7,21.2,54.0,2.7,1523.0,51.5,10.0
2020-11-21 23:11:06+0000,68.9,167.0,24.7,21.4,53.8,2.7,1523.0,51.3,10.0
2020-11-22 22:54:51+0000,69.2,167.0,24.8,21.6,53.7,2.7,1528.0,51.4,10.0
2020-11-23 22:48:32+0000,68.9,167.0,24.7,21.5,53.8,2.7,1523.0,51.3,10.0
2020-11-24 22:57:59+0000,69.3,167.0,24.8,21.7,53.6,2.7,1529.0,51.4,10.0
2020-11-25 21:34:31+0000,69.3,167.0,24.8,21.8,53.5,2.7,1529.0,51.3,10.0
2020-11-28 23:13:13+0000,68.5,167.0,24.5,21.5,53.7,2.7,1518.0,50.9,10.0
2020-11-29 12:13:00+0000,68.0,167.0,24.3,21.1,54.0,2.7,1510.0,50.8,10.0
2020-11-29 23:06:00+0000,68.6,167.0,24.5,21.4,53.9,2.7,1519.0,51.1,10.0
2020-11-30 22:45:53+0000,69.7,167.0,24.9,19.5,55.1,2.8,1535.0,53.2,10.0
2020-11-30 22:46:40+0000,68.9,167.0,24.7,21.4,53.9,2.7,1523.0,51.3,10.0
2020-12-01 22:29:05+0000,68.9,167.0,24.7,21.4,53.8,2.7,1523.0,51.3,10.0
2020-12-01 23:13:27+0000,68.9,167.0,24.7,21.4,53.9,2.7,1523.0,51.3,10.0
2020-12-02 21:31:47+0000,69.3,167.0,24.8,21.7,53.6,2.7,1529.0,51.4,10.0
2020-12-03 20:46:00+0000,68.9,167.0,24.7,21.6,53.7,2.7,1523.0,51.2,10.0
2020-12-06 00:04:56+0000,68.9,167.0,24.7,21.9,53.5,2.7,1523.0,51.0,10.0
2020-12-07 23:00:34+0000,68.9,167.0,24.7,21.7,53.6,2.7,1523.0,51.1,10.0
2020-12-08 23:22:02+0000,68.9,167.0,24.7,21.7,53.6,2.7,1523.0,51.1,10.0
2020-12-09 21:48:51+0000,68.9,167.0,24.7,21.6,53.7,2.7,1523.0,51.2,10.0
2020-12-10 23:24:40+0000,68.9,167.0,24.7,21.4,53.8,2.7,1523.0,51.3,10.0
2020-12-11 23:25:26+0000,69.2,167.0,24.8,21.5,53.7,2.7,1528.0,51.5,10.0
2020-12-12 23:09:27+0000,69.2,167.0,24.8,21.4,53.8,2.7,1528.0,51.5,10.0
2020-12-13 23:23:52+0000,69.2,167.0,24.8,21.5,53.8,2.7,1528.0,51.5,10.0
2020-12-14 23:07:30+0000,69.2,167.0,24.8,21.4,53.8,2.7,1528.0,51.5,10.0
2020-12-15 22:59:38+0000,69.2,167.0,24.8,21.5,53.8,2.7,1528.0,51.5,10.0
2020-12-17 00:20:34+0000,68.9,167.0,24.7,21.5,53.7,2.7,1523.0,51.2,10.0
2020-12-17 23:06:13+0000,68.9,167.0,24.7,21.5,53.8,2.7,1523.0,51.3,10.0
2020-12-18 23:09:04+0000,68.9,167.0,24.7,21.6,53.7,2.7,1523.0,51.2,10.0
2020-12-19 23:01:13+0000,68.9,167.0,24.7,21.4,53.8,2.7,1523.0,51.3,10.0
2020-12-22 23:14:14+0000,68.9,167.0,24.7,21.4,53.9,2.7,1523.0,51.3,10.0
2020-12-25 22:56:19+0000,68.4,167.0,24.5,21.1,54.0,2.7,1516.0,51.1,10.0
2020-12-26 23:28:25+0000,68.4,167.0,24.5,21.2,54.0,2.7,1516.0,51.1,10.0
2020-12-28 23:11:29+0000,69.1,167.0,24.7,21.6,53.7,2.7,1526.0,51.4,10.0
2020-12-29 23:14:59+0000,68.5,167.0,24.5,21.2,53.9,2.7,1518.0,51.1,10.0
2021-01-01 23:16:12+0000,68.9,167.0,24.7,21.5,53.7,2.7,1523.0,51.2,10.0
2021-01-02 23:14:38+0000,68.5,167.0,24.5,21.4,53.9,2.7,1518.0,51.0,10.0
2021-01-03 22:57:44+0000,68.5,167.0,24.5,21.3,53.9,2.7,1518.0,51.1,10.0
2021-01-05 23:48:58+0000,67.9,167.0,24.3,20.9,54.2,2.7,1509.0,50.9,10.0
2021-01-06 23:12:17+0000,68.4,167.0,24.5,21.0,54.1,2.7,1516.0,51.2,10.0
2021-01-07 23:07:34+0000,68.4,167.0,24.5,21.1,54.0,2.7,1516.0,51.1,10.0
2021-01-09 23:10:33+0000,67.8,167.0,24.3,21.1,54.1,2.7,1507.0,50.7,10.0
2021-01-10 22:51:48+0000,67.8,167.0,24.3,21.0,54.1,2.7,1507.0,50.7,10.0
2021-01-11 23:29:37+0000,68.1,167.0,24.4,21.1,54.0,2.7,1512.0,50.9,10.0
2021-01-13 23:08:36+0000,68.1,167.0,24.4,21.1,54.0,2.7,1512.0,50.9,10.0
2021-01-15 20:58:20+0000,67.7,167.0,24.2,20.8,54.2,2.7,1506.0,50.8,10.0
2021-01-16 23:26:16+0000,67.7,167.0,24.2,20.7,54.3,2.7,1506.0,50.9,10.0
2021-01-18 22:06:47+0000,67.7,167.0,24.2,20.5,54.5,2.7,1506.0,51.0,10.0
2021-01-19 23:54:26+0000,67.7,167.0,24.2,20.6,54.4,2.7,1506.0,51.0,10.0
2021-01-20 23:12:09+0000,67.7,167.0,24.2,20.5,54.5,2.7,1506.0,51.0,10.0
2021-01-21 22:56:57+0000,67.7,167.0,24.2,20.6,54.4,2.7,1506.0,51.0,10.0
2021-01-23 23:41:07+0000,67.7,167.0,24.2,20.4,54.5,2.7,1506.0,51.0,10.0
2021-01-24 23:07:30+0000,67.7,167.0,24.2,20.5,54.4,2.7,1506.0,51.0,10.0
2021-01-25 23:10:03+0000,67.4,167.0,24.1,20.2,54.6,2.7,1501.0,50.9,10.0
2021-01-27 22:54:32+0000,67.4,167.0,24.1,20.1,54.7,2.7,1501.0,51.0,10.0
2021-01-30 23:17:23+0000,66.8,167.0,23.9,19.9,54.9,2.7,1492.0,50.7,10.0
2021-02-01 23:05:51+0000,66.4,167.0,23.8,19.7,55.0,2.7,1477.0,50.5,10.0
2021-02-04 23:05:45+0000,66.4,167.0,23.8,20.0,54.8,2.6,1477.0,50.3,10.0
2021-02-07 22:31:43+0000,66.7,167.0,23.9,20.1,54.8,2.7,1482.0,50.5,10.0
2021-02-08 23:14:47+0000,66.2,167.0,23.7,19.9,54.9,2.6,1474.0,50.2,10.0
2021-02-09 15:12:43+0000,66.2,167.0,23.7,19.8,54.9,2.6,1474.0,50.3,10.0
2021-02-09 23:26:51+0000,65.8,167.0,23.5,19.7,55.0,2.6,1468.0,50.1,10.0
2021-02-11 23:08:49+0000,66.6,167.0,23.8,19.9,54.9,2.7,1480.0,50.5,10.0
2021-02-13 23:20:13+0000,66.6,167.0,23.8,19.9,54.9,2.7,1480.0,50.6,10.0
2021-02-16 10:27:13+0000,66.3,167.0,23.7,19.5,55.2,2.7,1476.0,50.6,10.0
2021-02-18 23:35:24+0000,67.1,167.0,24.0,20.1,54.7,2.7,1488.0,50.8,10.0
2021-02-23 23:25:51+0000,67.1,167.0,24.0,19.9,54.9,2.7,1488.0,50.9,10.0
2021-02-27 00:34:44+0000,66.1,167.0,23.7,19.5,55.1,2.7,1473.0,50.4,10.0
2021-02-28 23:07:10+0000,66.1,167.0,23.7,19.5,55.2,2.7,1473.0,50.4,10.0
2021-03-02 19:54:33+0000,65.8,167.0,23.5,19.3,55.3,2.6,1468.0,50.3,10.0
2021-03-03 23:14:52+0000,66.1,167.0,23.7,19.1,55.4,2.7,1473.0,50.7,10.0
2021-03-06 23:16:12+0000,65.4,167.0,23.4,18.9,55.5,2.6,1462.0,50.2,10.0
